executed_at,method,purpose,declared_module,recommended_use,http_status,ok,duration_ms,soap_bytes,result_bytes,xml_node_count,detected_fields,error,raw_file
2026-06-30T19:03:28.892888+00:00,AuthenticateUser,Autenticación y validación del Web Service,Módulo 16 operativo,Obligatorio antes de consultar métodos,200,True,190,426,36,0,,,diagnostics\gbp\raw\20260630_190328_890890_AuthenticateUser.xml
2026-06-30T19:03:28.927886+00:00,Brand_funGetXMLData,Cache auxiliar de marcas,Módulo 16,Cache diario/manual,200,True,34,3955,2460,82,"NewDataSet,Table,brand_desc,brand_id",,diagnostics\gbp\raw\20260630_190328_925904_Brand_funGetXMLData.xml
2026-06-30T19:03:29.090309+00:00,Category_funGetXMLData,Cache auxiliar de categorías,Módulo 16,Cache diario/manual,200,True,161,3874,2457,76,"NewDataSet,Table,cat_WebSite_desc,cat_desc,cat_id,cat_web",,diagnostics\gbp\raw\20260630_190329_088297_Category_funGetXMLData.xml
2026-06-30T19:03:29.379756+00:00,SubCategory_funGetXMLData,Cache auxiliar de subcategorías,Módulo 16,Cache diario/manual,200,True,289,441,15,0,,,diagnostics\gbp\raw\20260630_190329_377754_SubCategory_funGetXMLData.xml
2026-06-30T19:03:29.462835+00:00,MeasurementUnits_funGetXMLData,Cache auxiliar de unidades de medida,Módulo 16,Cache diario/manual,200,True,82,1139,468,17,"NewDataSet,Table,mu_desc,mu_id,mu_shortDesc",,diagnostics\gbp\raw\20260630_190329_460838_MeasurementUnits_funGetXMLData.xml
2026-06-30T19:03:29.498839+00:00,PriceList_funGetXMLData,Identificar listas de precio disponibles,Módulo 16,Cache manual/diario; prerrequisito de importación,200,True,35,3742,2304,77,"NewDataSet,Table,comp_id,prli_desc,prli_id",,diagnostics\gbp\raw\20260630_190329_495836_PriceList_funGetXMLData.xml
2026-06-30T19:03:29.939982+00:00,ItemBasicData_funGetXMLData,Artículos básicos actualizados,Módulo 16,Descubrimiento incremental,200,True,440,449,15,0,,,diagnostics\gbp\raw\20260630_190329_937980_ItemBasicData_funGetXMLData.xml
2026-06-30T19:03:29.965424+00:00,wsgetItemIDfromCode_funGetXMLData,Resolver SKU/código a ID interno GBP,Módulo 16,Bajo demanda y diagnóstico de mapeo,200,True,25,612,101,4,"NewDataSet,Table,comp_id,item_id",,diagnostics\gbp\raw\20260630_190329_963419_wsgetItemIDfromCode_funGetXMLData.xml
2026-06-30T19:03:29.991425+00:00,wsItem_funGetXMLDataById,Ficha completa de artículo por ID GBP,Módulo 16,Importación inicial y actualización completa manual,200,True,25,437,15,0,,,diagnostics\gbp\raw\20260630_190329_989426_wsItem_funGetXMLDataById.xml
2026-06-30T19:03:30.033420+00:00,ItemStorage_funGetXMLData,Stock por artículo y depósito,Módulo 16,Candidato principal para sync frecuente de stock,200,True,41,752,221,8,"FS,FS4StorageGroup,NewDataSet,PS,Stock,Table,item_id,stor_id",,diagnostics\gbp\raw\20260630_190330_031421_ItemStorage_funGetXMLData.xml
2026-06-30T19:03:30.097803+00:00,ItemImages_funGetXMLData,Imágenes por artículo,Módulo 16,Importación inicial y actualización completa manual,200,True,64,437,15,0,,,diagnostics\gbp\raw\20260630_190330_096803_ItemImages_funGetXMLData.xml
2026-06-30T19:03:30.536166+00:00,wsGetWebSiteImagesURL4WebServices,URLs de imágenes Website IV para artículo,Módulos 16 / 45 / 78; usando rama Módulo 16,Candidato preferido para imágenes de Tienda Nube,200,True,438,1861,1246,12,"NewDataSet,Table,item_WebSite_url4Image1,item_WebSite_url4Image10,item_WebSite_url4Image2,item_WebSite_url4Image3,item_WebSite_url4Image4,item_WebSite_url4Image5,item_WebSite_url4Image6,item_WebSite_url4Image7,item_WebSite_url4Image8,item_WebSite_url4Image9",,diagnostics\gbp\raw\20260630_190330_534172_wsGetWebSiteImagesURL4WebServices.xml
2026-06-30T19:03:30.698489+00:00,PriceListItems_funGetXMLData_Short,Precio inicial por lista y artículo,Módulo 16,Importación inicial; no frecuente,200,True,161,745,204,6,"NewDataSet,Table,curr_id,item_id,prli_id,prli_price_Final_Pesos",,diagnostics\gbp\raw\20260630_190330_696493_PriceListItems_funGetXMLData_Short.xml
